_id,model,loss,accuracy,Macro F1-Score
6584d1cea4068e7b0bcf9c33,LSTM_RNN_2_layer,1.4125452041625977,0.8444444537162781,0.8425838947296143
6584d289a4068e7b0bcf9c34,LSTM_RNN_2_layer,1.1024649143218994,0.8722222447395325,0.8708217144012451
6584d346a4068e7b0bcf9c35,LSTM_RNN_2_layer,0.8137373328208923,0.8777777552604675,0.874843955039978
6584d415a4068e7b0bcf9c36,LSTM_RNN_2_layer,0.8230807185173035,0.8722222447395325,0.8683825731277466
6584d4eaa4068e7b0bcf9c37,LSTM_RNN_2_layer,0.7478529214859009,0.8833333253860474,0.8769371509552002
6584d5b8a4068e7b0bcf9c38,LSTM_RNN_2_layer,0.9796218872070312,0.8722222447395325,0.872474193572998
6584d673a4068e7b0bcf9c39,LSTM_RNN_2_layer,1.135088562965393,0.8833333253860474,0.8826282620429993
6584d74da4068e7b0bcf9c3a,LSTM_RNN_2_layer,0.9613228440284729,0.8722222447395325,0.8717834949493408
6584d817a4068e7b0bcf9c3b,LSTM_RNN_2_layer,0.5537427663803101,0.8444444537162781,0.8419979810714722
6584d8e1a4068e7b0bcf9c3c,LSTM_RNN_2_layer,1.9702762365341187,0.4555555582046509,0.449063241481781
