_id,model,accuracy[0],accuracy[1]
6580fd6fdc7724a6aa39d154,SIMPLERNN,0.22056971490383148,0.949999988079071
6580fdeedc7724a6aa39d155,SIMPLERNN,0.5887184739112854,0.9055555462837219
6580fe6adc7724a6aa39d156,SIMPLERNN,0.27914586663246155,0.9666666388511658
6580fedddc7724a6aa39d157,SIMPLERNN,0.31360921263694763,0.949999988079071
6580ff58dc7724a6aa39d158,SIMPLERNN,0.4594481885433197,0.9444444179534912
6580ffdfdc7724a6aa39d159,SIMPLERNN,0.2408158779144287,0.9388889074325562
6581006fdc7724a6aa39d15a,SIMPLERNN,0.36955344676971436,0.9333333373069763
658100fddc7724a6aa39d15b,SIMPLERNN,0.45851483941078186,0.9166666865348816
65810185dc7724a6aa39d15c,SIMPLERNN,0.15323323011398315,0.9777777791023254
6581020fdc7724a6aa39d15d,SIMPLERNN,0.4807005524635315,0.9166666865348816
