_id,model,loss,accuracy,Macro F1-Score
658460b496a188d87b512188,SIMPLE_RNN_1_layer,0.31827422976493835,0.9111111164093018,0.9137032628059387
658460eb96a188d87b512189,SIMPLE_RNN_1_layer,0.3224458694458008,0.9055555462837219,0.9074945449829102
6584611e96a188d87b51218a,SIMPLE_RNN_1_layer,0.33633992075920105,0.9388889074325562,0.9382527470588684
6584615396a188d87b51218b,SIMPLE_RNN_1_layer,0.38288164138793945,0.9444444179534912,0.9406483173370361
6584618896a188d87b51218c,SIMPLE_RNN_1_layer,0.44412052631378174,0.9111111164093018,0.9093776345252991
658461bc96a188d87b51218d,SIMPLE_RNN_1_layer,0.5318450331687927,0.9222221970558167,0.9195703864097595
658461f096a188d87b51218e,SIMPLE_RNN_1_layer,0.2822459042072296,0.9388889074325562,0.9395008087158203
6584622c96a188d87b51218f,SIMPLE_RNN_1_layer,0.22992727160453796,0.9611111283302307,0.9599317908287048
6584626e96a188d87b512190,SIMPLE_RNN_1_layer,0.4673144519329071,0.9222221970558167,0.9207725524902344
658462a996a188d87b512191,SIMPLE_RNN_1_layer,0.3772967755794525,0.9222221970558167,0.922495424747467
