_id,model,loss,accuracy,Macro F1-Score
6584d2abbae32a7b8a4285cb,LSTM_RNN_1_layer,0.7491782903671265,0.8888888955116272,0.888461172580719
6584d364bae32a7b8a4285cc,LSTM_RNN_1_layer,1.0579224824905396,0.8500000238418579,0.8533891439437866
6584d41bbae32a7b8a4285cd,LSTM_RNN_1_layer,0.41824689507484436,0.8888888955116272,0.8898489475250244
6584d4c2bae32a7b8a4285ce,LSTM_RNN_1_layer,0.6514300107955933,0.8666666746139526,0.8662921786308289
6584d56dbae32a7b8a4285cf,LSTM_RNN_1_layer,0.6684104204177856,0.8611111044883728,0.8617119789123535
6584d621bae32a7b8a4285d0,LSTM_RNN_1_layer,0.7122035622596741,0.8611111044883728,0.8595471382141113
6584d6cdbae32a7b8a4285d1,LSTM_RNN_1_layer,0.7277288436889648,0.8666666746139526,0.8700870275497437
6584d771bae32a7b8a4285d2,LSTM_RNN_1_layer,0.8758912682533264,0.8333333134651184,0.8299733400344849
6584d815bae32a7b8a4285d3,LSTM_RNN_1_layer,0.8928378820419312,0.8333333134651184,0.8315932154655457
6584d8cdbae32a7b8a4285d4,LSTM_RNN_1_layer,0.8949002623558044,0.8611111044883728,0.8638922572135925
