_id,model,loss,accuracy,Macro F1-Score
65846b1096a188d87b5121a6,GRU_RNN_2_layer,0.3491680920124054,0.9277777671813965,0.9270759224891663
65846bed96a188d87b5121a7,GRU_RNN_2_layer,0.3377244174480438,0.9333333373069763,0.9334152936935425
65846cd196a188d87b5121a8,GRU_RNN_2_layer,0.5057147145271301,0.9166666865348816,0.915593147277832
65846dbf96a188d87b5121a9,GRU_RNN_2_layer,0.20671437680721283,0.9444444179534912,0.9461859464645386
65846ea796a188d87b5121aa,GRU_RNN_2_layer,0.29337212443351746,0.9388889074325562,0.9374783635139465
65846f9696a188d87b5121ab,GRU_RNN_2_layer,0.28857553005218506,0.9388889074325562,0.9398013353347778
6584708896a188d87b5121ac,GRU_RNN_2_layer,0.2662200331687927,0.9388889074325562,0.9394062757492065
658471a896a188d87b5121ad,GRU_RNN_2_layer,0.42217084765434265,0.9388889074325562,0.9364354610443115
658472a796a188d87b5121ae,GRU_RNN_2_layer,0.22345057129859924,0.9444444179534912,0.9459960460662842
658473b796a188d87b5121af,GRU_RNN_2_layer,0.2897384762763977,0.9333333373069763,0.9339712858200073
