_id,model,loss,accuracy,Macro F1-Score
6584536c56bb96eb466ba5cf,LSTM_RNN_1_layer,0.902835488319397,0.8222222328186035,0.821423351764679
658453d456bb96eb466ba5d0,LSTM_RNN_1_layer,0.9047368168830872,0.8611111044883728,0.8590584993362427
6584543956bb96eb466ba5d1,LSTM_RNN_1_layer,0.9129816889762878,0.8277778029441833,0.8298099637031555
6584549c56bb96eb466ba5d2,LSTM_RNN_1_layer,0.6175552606582642,0.8722222447395325,0.8711018562316895
658454fc56bb96eb466ba5d3,LSTM_RNN_1_layer,0.9192960858345032,0.8444444537162781,0.8438031077384949
6584555856bb96eb466ba5d4,LSTM_RNN_1_layer,0.8948948383331299,0.7888888716697693,0.792570173740387
658455c056bb96eb466ba5d5,LSTM_RNN_1_layer,0.964094877243042,0.8444444537162781,0.842654824256897
6584561c56bb96eb466ba5d6,LSTM_RNN_1_layer,0.9128410220146179,0.8277778029441833,0.8313437700271606
6584567456bb96eb466ba5d7,LSTM_RNN_1_layer,0.8867911696434021,0.8388888835906982,0.8415486216545105
658456cc56bb96eb466ba5d8,LSTM_RNN_1_layer,0.8397363424301147,0.8333333134651184,0.8341338038444519
