_id,model,loss,accuracy,avg_f1score,cateogrical_f1score[0],cateogrical_f1score[1],cateogrical_f1score[2],cateogrical_f1score[3],cateogrical_f1score[4],cateogrical_f1score[5],cateogrical_f1score[6],cateogrical_f1score[7],cateogrical_f1score[8],cateogrical_f1score[9],cateogrial_accuracy[0],cateogrial_accuracy[1],cateogrial_accuracy[2],cateogrial_accuracy[3],cateogrial_accuracy[4],cateogrial_accuracy[5],cateogrial_accuracy[6],cateogrial_accuracy[7],cateogrial_accuracy[8]
659040ac787440b0925a1d46,GRU,0.6910944581031799,0.9049999713897705,0.9069641470909119,0.888888955116272,0.9743589162826538,0.8717948198318481,0.8636363744735718,0.949999988079071,0.9756097793579102,0.8421052694320679,0.9473683834075928,0.9473683834075928,0.8085106015205383,0.8,0.95,0.85,0.95,0.95,1,0.8,0.9,0.9
659040ac787440b0925a1d47,GRU,0.3679620325565338,0.9549999833106995,0.9551188230514527,0.9268293380737305,0.9743589162826538,0.8500000238418579,1,1,1,0.8999999761581421,1,1,0.8999999761581421,0.95,0.95,0.85,1,1,1,0.9,1,1
659040ac787440b0925a1d48,GRU,0.09821683168411255,0.9850000143051147,0.985106748342514,0.9756097793579102,1,0.9743589162826538,1,1,0.9743589162826538,0.9743589162826538,1,1,0.9523809552192688,1,1,0.95,1,1,0.95,0.95,1,1
659040ac787440b0925a1d49,GRU,0.3281882405281067,0.9649999737739563,0.9649592936038971,0.9756097793579102,1,0.923076868057251,0.9743589162826538,0.9523809552192688,0.9756097793579102,0.9473683834075928,0.9743589162826538,1,0.9268293380737305,1,1,0.9,0.95,1,1,0.9,0.95,1
659040ac787440b0925a1d4a,GRU,0.35190457105636597,0.9300000071525574,0.9311761021614074,0.9743589162826538,1,0.8000000715255737,1,0.9189189076423645,1,1,0.8636363744735718,0.9743589162826538,0.7804878354072571,0.95,1,0.8,1,0.85,1,1,0.95,0.95
