_id,model,loss,accuracy,avg_f1score,cateogrical_f1score[0],cateogrical_f1score[1],cateogrical_f1score[2],cateogrical_f1score[3],cateogrical_f1score[4],cateogrical_f1score[5],cateogrical_f1score[6],cateogrical_f1score[7],cateogrical_f1score[8],cateogrical_f1score[9],cateogrial_accuracy[0],cateogrial_accuracy[1],cateogrial_accuracy[2],cateogrial_accuracy[3],cateogrial_accuracy[4],cateogrial_accuracy[5],cateogrial_accuracy[6],cateogrial_accuracy[7],cateogrial_accuracy[8]
659040ad787440b0925a1d50,LSTM,1.0277940034866333,0.8600000143051147,0.8616841614246369,0.8235293626785278,0.9743589162826538,0.6341463327407837,0.9047619104385376,0.888888955116272,1,0.8571428060531616,0.8947368264198303,0.8837209343910217,0.7555555701255798,0.7,0.95,0.65,0.95,0.8,1,0.9,0.85,0.95
659040ad787440b0925a1d51,LSTM,0.4204844534397125,0.949999988079071,0.9500803172588348,0.8999999761581421,0.9743589162826538,0.8292683362960815,1,1,1,0.9268293380737305,0.9756097793579102,1,0.8947368264198303,0.9,0.95,0.85,1,1,1,0.95,1,1
659040ad787440b0925a1d52,LSTM,0.21616406738758087,0.9649999737739563,0.9651848316192627,0.9473683834075928,1,0.9743589162826538,1,0.9756097793579102,0.9473683834075928,0.949999988079071,1,0.9523809552192688,0.9047619104385376,0.9,1,0.95,1,1,0.9,0.95,1,1
659040ad787440b0925a1d53,LSTM,0.2546452581882477,0.9449999928474426,0.9449937045574188,0.9302325248718262,0.9743589162826538,0.9189189076423645,0.8999999761581421,0.9756097793579102,0.9756097793579102,0.923076868057251,0.9473683834075928,1,0.9047619104385376,1,0.95,0.85,0.9,1,1,0.9,0.9,1
659040ad787440b0925a1d54,LSTM,0.6274687051773071,0.8899999856948853,0.8920694887638092,0.949999988079071,1,0.714285671710968,0.923076868057251,0.8947368264198303,0.949999988079071,0.9189189076423645,0.8260869383811951,0.923076868057251,0.8205128312110901,0.95,1,0.75,0.9,0.85,0.95,0.85,0.95,0.9
