_id,model,loss,accuracy,avg_f1score,cateogrical_f1score[0],cateogrical_f1score[1],cateogrical_f1score[2],cateogrical_f1score[3],cateogrical_f1score[4],cateogrical_f1score[5],cateogrical_f1score[6],cateogrical_f1score[7],cateogrical_f1score[8],cateogrical_f1score[9],cateogrial_accuracy[0],cateogrial_accuracy[1],cateogrial_accuracy[2],cateogrial_accuracy[3],cateogrial_accuracy[4],cateogrial_accuracy[5],cateogrial_accuracy[6],cateogrial_accuracy[7],cateogrial_accuracy[8]
659040a9787440b0925a1d28,GRU,0.4429399073123932,0.925000011920929,0.9267280697822571,0.9473683834075928,0.9473683834075928,0.8999999761581421,0.949999988079071,0.949999988079071,0.9523809552192688,0.949999988079071,0.923076868057251,0.9743589162826538,0.7727272510528564,0.9,0.9,0.9,0.95,0.95,1,0.95,0.9,0.95
659040a9787440b0925a1d29,GRU,0.29699480533599854,0.9399999976158142,0.9404072999954224,0.878048837184906,0.9743589162826538,0.8095238208770752,1,0.9756097793579102,1,0.8947368264198303,1,1,0.8717948198318481,0.9,0.95,0.85,1,1,1,0.85,1,1
659040a9787440b0925a1d2a,GRU,0.1727198362350464,0.9700000286102295,0.9703479707241058,1,1,0.9047619104385376,1,0.9743589162826538,0.9743589162826538,0.949999988079071,1,1,0.8999999761581421,1,1,0.95,1,0.95,0.95,0.95,1,1
659040a9787440b0925a1d2b,GRU,0.16505348682403564,0.9549999833106995,0.9552821516990662,0.949999988079071,1,0.8717948198318481,0.9743589162826538,1,0.9756097793579102,0.9473683834075928,0.9743589162826538,0.9756097793579102,0.8837209343910217,0.95,1,0.85,0.95,1,1,0.9,0.95,1
659040a9787440b0925a1d2c,GRU,0.29307225346565247,0.9300000071525574,0.9310348868370056,0.9473683834075928,1,0.8999999761581421,0.9743589162826538,0.9189189076423645,0.9756097793579102,0.9756097793579102,0.8636363744735718,0.9743589162826538,0.7804878354072571,0.9,1,0.9,0.95,0.85,1,1,0.95,0.95
