_id,model,loss,accuracy,avg_f1score,cateogrical_f1score[0],cateogrical_f1score[1],cateogrical_f1score[2],cateogrical_f1score[3],cateogrical_f1score[4],cateogrical_f1score[5],cateogrical_f1score[6],cateogrical_f1score[7],cateogrical_f1score[8],cateogrial_accuracy[0],cateogrial_accuracy[1],cateogrial_accuracy[2],cateogrial_accuracy[3],cateogrial_accuracy[4],cateogrial_accuracy[5],cateogrial_accuracy[6],cateogrial_accuracy[7],cateogrial_accuracy[8]
658a39a8f31a06273947d379,SimpleRNN,0.35762396454811096,0.9444444179534912,0.9434706038898892,0.9615384340286255,0.9600000381469727,0.8780487775802612,0.9333332777023315,0.930232584476471,0.978723406791687,0.875,1,0.9743589162826538,1,0.9230769230769231,0.8181818181818182,0.9545454545454546,0.9090909090909091,1,0.875,1,1
658a39a8f31a06273947d37a,SimpleRNN,0.29227736592292786,0.9333333373069763,0.9323051439391242,0.9047619104385376,0.95652174949646,0.8484848737716675,0.9387754797935486,0.8936170339584351,0.9777777791023254,0.9142857193946838,0.95652174949646,1,0.95,1,0.875,0.92,0.9130434782608695,0.9565217391304348,0.8421052631578947,0.9166666666666666,1
658a39a8f31a06273947d37b,SimpleRNN,0.0687350258231163,0.9722222089767456,0.969999180899726,0.9767441749572754,1,0.930232584476471,1,0.9285714626312256,0.9444444179534912,1,1,0.949999988079071,0.9545454545454546,1,0.9523809523809523,1,0.8666666666666667,0.9444444444444444,1,1,1
658a39a9f31a06273947d37c,SimpleRNN,0.636981189250946,0.8833333253860474,0.8743915756543478,0.8181818127632141,0.936170220375061,0.8205128312110901,0.7999999523162842,0.8125,0.9333333373069763,0.8823529481887817,0.923076868057251,0.9433962106704712,1,0.9166666666666666,0.7619047619047619,0.8571428571428571,0.7222222222222222,1,0.8571428571428571,0.9473684210526315,0.9615384615384616
658a39a9f31a06273947d37d,SimpleRNN,0.5698251128196716,0.9111111164093018,0.9077692760361565,0.8979592323303223,1,0.8500000238418579,0.8421052694320679,0.930232584476471,0.936170220375061,0.7857142686843872,0.9599999785423279,0.9677419066429138,0.9166666666666666,1,0.85,0.8888888888888888,0.9090909090909091,1,0.6875,0.96,0.9375
