_id,model,loss,accuracy,avg_f1score,cateogrical_f1score[0],cateogrical_f1score[1],cateogrical_f1score[2],cateogrical_f1score[3],cateogrical_f1score[4],cateogrical_f1score[5],cateogrical_f1score[6],cateogrical_f1score[7],cateogrical_f1score[8],cateogrial_accuracy[0],cateogrial_accuracy[1],cateogrial_accuracy[2],cateogrial_accuracy[3],cateogrial_accuracy[4],cateogrial_accuracy[5],cateogrial_accuracy[6],cateogrial_accuracy[7],cateogrial_accuracy[8]
658a2b8babe0c9dca301b494,SimpleRNN,0.3768218159675598,0.9222221970558167,0.9174788130654229,0.9795917868614197,0.8461538553237915,0.8260869979858398,0.936170220375061,0.8837209343910217,1,0.8666666150093079,1,0.9189189076423645,0.96,0.8461538461538461,0.8636363636363636,1,0.8636363636363636,1,0.8125,1,0.8947368421052632
658a2b8babe0c9dca301b495,SimpleRNN,0.34452125430107117,0.949999988079071,0.948277665509118,0.923076868057251,0.9777777791023254,0.9142857193946838,0.9599999785423279,0.936170220375061,0.9777777791023254,0.8888888955116272,0.95652174949646,1,0.9,1,1,0.96,0.9565217391304348,0.9565217391304348,0.8421052631578947,0.9166666666666666,1
658a2b8babe0c9dca301b496,SimpleRNN,0.24612155556678772,0.9666666388511658,0.9635760320557488,0.9545454382896423,1,0.9268293380737305,0.930232584476471,0.9375,1,0.9230769276618958,1,1,0.9545454545454546,1,0.9047619047619048,0.9523809523809523,1,1,0.8571428571428571,1,1
658a2b8babe0c9dca301b497,SimpleRNN,0.6831064224243164,0.9166666865348816,0.90658038854599,0.75,0.936170220375061,0.878048837184906,0.8461538553237915,0.9411765336990356,0.9655172228813171,0.9117646813392639,0.949999988079071,0.9803921580314636,1,0.9166666666666666,0.8571428571428571,0.7857142857142857,0.8888888888888888,1,0.8857142857142857,1,0.9615384615384616
658a2b8babe0c9dca301b498,SimpleRNN,0.49677518010139465,0.9166666865348816,0.916350331571367,0.936170220375061,1,0.8372092843055725,0.8333333134651184,0.9000000357627869,0.95652174949646,0.875,0.9411764740943909,0.9677419066429138,0.9166666666666666,1,0.9,0.8333333333333334,0.8181818181818182,1,0.875,0.96,0.9375
