_id,model,loss,accuracy,avg_f1score,cateogrical_f1score[0],cateogrical_f1score[1],cateogrical_f1score[2],cateogrical_f1score[3],cateogrical_f1score[4],cateogrical_f1score[5],cateogrical_f1score[6],cateogrical_f1score[7],cateogrical_f1score[8],cateogrial_accuracy[0],cateogrial_accuracy[1],cateogrial_accuracy[2],cateogrial_accuracy[3],cateogrial_accuracy[4],cateogrial_accuracy[5],cateogrial_accuracy[6],cateogrial_accuracy[7],cateogrial_accuracy[8]
658a2b8aabe0c9dca301b48f,SimpleRNN,0.36684200167655945,0.9166666865348816,0.9174396395683289,0.9259259700775146,0.9230769276618958,0.8095238208770752,0.8936169743537903,0.8571428060531616,1,0.9032257795333862,1,0.944444477558136,1,0.9230769230769231,0.7727272727272727,0.9545454545454546,0.8181818181818182,1,0.875,1,0.8947368421052632
658a2b8babe0c9dca301b490,SimpleRNN,0.38856396079063416,0.9388889074325562,0.9365290469593472,0.9268293380737305,1,0.8387096524238586,0.9387754797935486,0.9166666269302368,0.95652174949646,0.8947368264198303,0.95652174949646,1,0.95,1,0.8125,0.92,0.9565217391304348,0.9565217391304348,0.8947368421052632,0.9166666666666666,1
658a2b8babe0c9dca301b491,SimpleRNN,0.16733194887638092,0.9611111283302307,0.95681189166175,0.9777777791023254,1,0.8717948794364929,0.930232584476471,1,1,0.8571428656578064,1,0.9743589162826538,1,1,0.8095238095238095,0.9523809523809523,1,1,0.8571428571428571,1,1
658a2b8babe0c9dca301b492,SimpleRNN,0.5643210411071777,0.9222221970558167,0.9182114336225722,0.8571428656578064,0.95652174949646,0.8571428656578064,0.8888888955116272,0.9444444179534912,0.9655172228813171,0.9090908765792847,0.9047618508338928,0.9803921580314636,1,0.9166666666666666,0.8571428571428571,0.8571428571428571,0.9444444444444444,1,0.8571428571428571,1,0.9615384615384616
658a2b8babe0c9dca301b493,SimpleRNN,0.7855601906776428,0.8888888955116272,0.888645589351654,0.8510637879371643,1,0.8095238208770752,0.8205128312110901,0.8571428060531616,0.9333332777023315,0.8571428656578064,0.9599999785423279,0.9090909361839294,0.8333333333333334,1,0.85,0.8888888888888888,0.8181818181818182,0.9545454545454546,0.75,0.96,0.9375
