_id,model,loss,accuracy,Macro F1-Score
6584bddebae32a7b8a4285a3,SIMPLE_RNN_1_layer,0.3659026324748993,0.9555555582046509,0.9538586139678955
6584be16bae32a7b8a4285a4,SIMPLE_RNN_1_layer,0.3130040168762207,0.9333333373069763,0.9310085773468018
6584be4dbae32a7b8a4285a5,SIMPLE_RNN_1_layer,0.3184545040130615,0.9166666865348816,0.9168932437896729
6584be87bae32a7b8a4285a6,SIMPLE_RNN_1_layer,0.5024994611740112,0.9166666865348816,0.91618812084198
6584bec0bae32a7b8a4285a7,SIMPLE_RNN_1_layer,0.33035731315612793,0.9111111164093018,0.9141915440559387
6584befdbae32a7b8a4285a8,SIMPLE_RNN_1_layer,0.27585598826408386,0.9388889074325562,0.939515233039856
6584bf3cbae32a7b8a4285a9,SIMPLE_RNN_1_layer,0.5434954166412354,0.9333333373069763,0.9322670698165894
6584bf7dbae32a7b8a4285aa,SIMPLE_RNN_1_layer,0.20858241617679596,0.9388889074325562,0.9368783235549927
6584bfc7bae32a7b8a4285ab,SIMPLE_RNN_1_layer,0.48750001192092896,0.9333333373069763,0.9368007183074951
6584c00dbae32a7b8a4285ac,SIMPLE_RNN_1_layer,0.5616942644119263,0.9166666865348816,0.9204930067062378
