_id,model,loss,accuracy,avg_f1score,cateogrical_f1score[0],cateogrical_f1score[1],cateogrical_f1score[2],cateogrical_f1score[3],cateogrical_f1score[4],cateogrical_f1score[5],cateogrical_f1score[6],cateogrical_f1score[7],cateogrical_f1score[8],cateogrical_f1score[9],cateogrial_accuracy[0],cateogrial_accuracy[1],cateogrial_accuracy[2],cateogrial_accuracy[3],cateogrial_accuracy[4],cateogrial_accuracy[5],cateogrial_accuracy[6],cateogrial_accuracy[7],cateogrial_accuracy[8]
659040ab787440b0925a1d41,GRU,0.4524988532066345,0.9200000166893005,0.9204894006252289,0.8571428656578064,0.9743589162826538,0.8636363744735718,0.9090909361839294,0.949999988079071,1,0.8717948198318481,0.9473683834075928,0.9743589162826538,0.8571428060531616,0.75,0.95,0.95,1,0.95,1,0.85,0.9,0.95
659040ab787440b0925a1d42,GRU,0.4524712860584259,0.9350000023841858,0.9341237008571625,0.9047619104385376,0.9743589162826538,0.7894737124443054,1,0.9090909361839294,1,0.923076868057251,0.9756097793579102,1,0.8648648858070374,0.95,0.95,0.75,1,1,1,0.9,1,1
659040ab787440b0925a1d43,GRU,0.09582113474607468,0.9850000143051147,0.9853309273719788,1,1,0.9743589162826538,1,1,0.9743589162826538,0.9743589162826538,1,1,0.9302325248718262,1,1,0.95,1,1,0.95,0.95,1,1
659040ab787440b0925a1d44,GRU,0.20291852951049805,0.9649999737739563,0.9642516314983368,0.9756097793579102,1,0.9756097793579102,0.949999988079071,0.9756097793579102,0.9756097793579102,0.888888955116272,0.9743589162826538,1,0.9268293380737305,1,1,1,0.95,1,1,0.8,0.95,1
659040ac787440b0925a1d45,GRU,0.3670828640460968,0.925000011920929,0.9249600768089294,1,1,0.8500000238418579,0.923076868057251,0.9189189076423645,0.9523809552192688,0.9756097793579102,0.8444444537162781,0.9743589162826538,0.8108108639717102,1,1,0.85,0.9,0.85,1,1,0.95,0.95
