_id,model,loss,accuracy,avg_f1score,cateogrical_f1score[0],cateogrical_f1score[1],cateogrical_f1score[2],cateogrical_f1score[3],cateogrical_f1score[4],cateogrical_f1score[5],cateogrical_f1score[6],cateogrical_f1score[7],cateogrical_f1score[8],cateogrical_f1score[9],cateogrial_accuracy[0],cateogrial_accuracy[1],cateogrial_accuracy[2],cateogrial_accuracy[3],cateogrial_accuracy[4],cateogrial_accuracy[5],cateogrial_accuracy[6],cateogrial_accuracy[7],cateogrial_accuracy[8]
659040aa787440b0925a1d37,SimpleRNN,0.48469221591949463,0.9200000166893005,0.9205062627792359,0.888888955116272,0.9743589162826538,0.8500000238418579,0.9523809552192688,0.9743589162826538,0.9523809552192688,0.878048837184906,0.923076868057251,0.9743589162826538,0.8372092843055725,0.8,0.95,0.85,1,0.95,1,0.9,0.9,0.95
659040aa787440b0925a1d38,SimpleRNN,0.3511560559272766,0.9449999928474426,0.9450243771076202,0.878048837184906,0.9743589162826538,0.8571428060531616,0.9756097793579102,0.9756097793579102,1,0.8947368264198303,1,1,0.8947368264198303,0.9,0.95,0.9,1,1,1,0.85,1,1
659040aa787440b0925a1d39,SimpleRNN,0.14367415010929108,0.9800000190734863,0.9799968659877777,1,1,0.949999988079071,1,1,0.9743589162826538,0.9756097793579102,1,1,0.8999999761581421,1,1,0.95,1,1,0.95,1,1,1
659040aa787440b0925a1d3a,SimpleRNN,0.304244726896286,0.9649999737739563,0.9646905183792114,0.9756097793579102,0.9756097793579102,0.949999988079071,0.9743589162826538,0.9756097793579102,0.9756097793579102,0.9189189076423645,0.9743589162826538,1,0.9268293380737305,1,1,0.95,0.95,1,1,0.85,0.95,1
659040ab787440b0925a1d3b,SimpleRNN,0.2424965351819992,0.9200000166893005,0.9200064778327942,0.9047619104385376,1,0.8648648858070374,1,0.9189189076423645,0.9302325248718262,1,0.8444444537162781,0.9473683834075928,0.7894737124443054,0.95,1,0.8,1,0.85,1,1,0.95,0.9
