_id,model,loss,accuracy,avg_f1score,cateogrical_f1score[0],cateogrical_f1score[1],cateogrical_f1score[2],cateogrical_f1score[3],cateogrical_f1score[4],cateogrical_f1score[5],cateogrical_f1score[6],cateogrical_f1score[7],cateogrical_f1score[8],cateogrical_f1score[9],cateogrial_accuracy[0],cateogrial_accuracy[1],cateogrial_accuracy[2],cateogrial_accuracy[3],cateogrial_accuracy[4],cateogrial_accuracy[5],cateogrial_accuracy[6],cateogrial_accuracy[7],cateogrial_accuracy[8]
659040ac787440b0925a1d4b,LSTM,0.6383524537086487,0.9100000262260437,0.9112712025642395,0.888888955116272,0.9743589162826538,0.888888955116272,0.9268293380737305,0.923076868057251,1,0.923076868057251,0.8648648858070374,0.949999988079071,0.7727272510528564,0.8,0.95,1,0.95,0.9,1,0.9,0.8,0.95
659040ac787440b0925a1d4c,LSTM,0.6196103692054749,0.9049999713897705,0.9040754973888397,0.8571428060531616,0.9743589162826538,0.7179486751556396,1,0.9743589162826538,1,0.8648648858070374,0.9523809552192688,0.888888955116272,0.8108108639717102,0.9,0.95,0.7,1,0.95,1,0.8,1,1
659040ac787440b0925a1d4d,LSTM,0.1235947236418724,0.9800000190734863,0.9799686729907989,0.9473683834075928,1,0.9756097793579102,0.9523809552192688,0.9743589162826538,0.9743589162826538,1,1,1,0.9756097793579102,0.9,1,1,1,0.95,0.95,1,1,1
659040ac787440b0925a1d4e,LSTM,0.45074912905693054,0.925000011920929,0.9245820760726928,0.9268293380737305,0.9743589162826538,0.878048837184906,0.923076868057251,0.9523809552192688,0.9756097793579102,0.8947368264198303,0.8571428656578064,1,0.8636363744735718,0.95,0.95,0.9,0.9,1,1,0.85,0.75,1
659040ac787440b0925a1d4f,LSTM,0.44885537028312683,0.9100000262260437,0.9093777000904083,0.9268293380737305,0.9756097793579102,0.8205128312110901,0.9473683834075928,0.8947368264198303,0.9756097793579102,0.949999988079071,0.8636363744735718,0.949999988079071,0.7894737124443054,0.95,1,0.8,0.9,0.85,1,0.95,0.95,0.95
