_id,model,loss,accuracy,avg_f1score,cateogrical_f1score[0],cateogrical_f1score[1],cateogrical_f1score[2],cateogrical_f1score[3],cateogrical_f1score[4],cateogrical_f1score[5],cateogrical_f1score[6],cateogrical_f1score[7],cateogrical_f1score[8],cateogrical_f1score[9],cateogrial_accuracy[0],cateogrial_accuracy[1],cateogrial_accuracy[2],cateogrial_accuracy[3],cateogrial_accuracy[4],cateogrial_accuracy[5],cateogrial_accuracy[6],cateogrial_accuracy[7],cateogrial_accuracy[8]
659040ab787440b0925a1d3c,SimpleRNN,0.39825382828712463,0.9399999976158142,0.9408560812473297,0.9473683834075928,0.9743589162826538,0.9268293380737305,0.9523809552192688,0.949999988079071,0.9756097793579102,0.923076868057251,0.9473683834075928,0.9743589162826538,0.8372092843055725,0.9,0.95,0.95,1,0.95,1,0.9,0.9,0.95
659040ab787440b0925a1d3d,SimpleRNN,0.41075989603996277,0.9549999833106995,0.9548371255397796,0.8837209343910217,0.9743589162826538,0.8648648858070374,0.9756097793579102,0.9523809552192688,1,0.923076868057251,1,1,0.9743589162826538,0.95,0.95,0.8,1,1,1,0.9,1,1
659040ab787440b0925a1d3e,SimpleRNN,0.22075672447681427,0.9750000238418579,0.975115692615509,0.949999988079071,1,0.949999988079071,0.9756097793579102,0.9743589162826538,0.9743589162826538,1,1,1,0.9268293380737305,0.95,1,0.95,1,0.95,0.95,1,1,1
659040ab787440b0925a1d3f,SimpleRNN,0.20674555003643036,0.9649999737739563,0.9652577221393586,0.9756097793579102,1,0.949999988079071,0.9743589162826538,1,0.9756097793579102,0.9189189076423645,0.9743589162826538,1,0.8837209343910217,1,1,0.95,0.95,1,1,0.85,0.95,1
659040ab787440b0925a1d40,SimpleRNN,0.3303029537200928,0.925000011920929,0.9249999761581421,0.9523809552192688,1,0.8205128312110901,0.9743589162826538,0.9473683834075928,0.9302325248718262,1,0.8444444537162781,0.9473683834075928,0.8333333134651184,1,1,0.8,0.95,0.9,1,1,0.95,0.9
