_id,model,loss,accuracy,avg_f1score,cateogrical_f1score[0],cateogrical_f1score[1],cateogrical_f1score[2],cateogrical_f1score[3],cateogrical_f1score[4],cateogrical_f1score[5],cateogrical_f1score[6],cateogrical_f1score[7],cateogrical_f1score[8],cateogrical_f1score[9],cateogrial_accuracy[0],cateogrial_accuracy[1],cateogrial_accuracy[2],cateogrial_accuracy[3],cateogrial_accuracy[4],cateogrial_accuracy[5],cateogrial_accuracy[6],cateogrial_accuracy[7],cateogrial_accuracy[8]
659040a9787440b0925a1d2d,LSTM,0.8255167603492737,0.8450000286102295,0.8448615908622742,0.8333333134651184,0.9302325248718262,0.7906977534294128,0.8181817531585693,0.7567567825317383,1,0.8717948198318481,0.8333333134651184,0.8999999761581421,0.714285671710968,0.75,1,0.85,0.9,0.7,1,0.85,0.75,0.9
659040a9787440b0925a1d2e,LSTM,0.5353737473487854,0.9049999713897705,0.9039442360401153,0.8837209343910217,0.9268293380737305,0.7692307233810425,0.9268293380737305,0.949999988079071,1,0.8947368264198303,0.949999988079071,0.9047619104385376,0.8333333134651184,0.95,0.95,0.75,0.95,0.95,1,0.85,0.95,0.95
659040a9787440b0925a1d2f,LSTM,0.3330006003379822,0.9200000166893005,0.9205363512039184,0.9743589162826538,0.9756097793579102,0.8500000238418579,0.9473683834075928,0.8947368264198303,0.9743589162826538,0.8444444537162781,0.949999988079071,0.9523809552192688,0.8421052694320679,0.95,1,0.85,0.9,0.85,0.95,0.95,0.95,1
659040a9787440b0925a1d30,LSTM,0.45326146483421326,0.8799999952316284,0.8805459499359131,0.9743589162826538,0.923076868057251,0.8421052694320679,0.7317072749137878,0.9047619104385376,0.9756097793579102,0.8333333134651184,0.9189189076423645,0.8571428060531616,0.8444444537162781,0.95,0.9,0.8,0.75,0.95,1,0.75,0.85,0.9
659040aa787440b0925a1d31,LSTM,0.7250650525093079,0.8949999809265137,0.89389488697052,0.949999988079071,0.9523809552192688,0.699999988079071,0.8947368264198303,0.8333333134651184,0.9756097793579102,0.9090909361839294,0.878048837184906,0.9189189076423645,0.9268293380737305,0.95,1,0.7,0.85,0.75,1,1,0.9,0.85
