_id,model,loss,accuracy,Macro F1-Score
6584c678a4068e7b0bcf9c15,GRU_RNN_1_layer,0.693973183631897,0.8388888835906982,0.8404351472854614
6584c6b8a4068e7b0bcf9c16,GRU_RNN_1_layer,0.43864303827285767,0.9222221970558167,0.9208861589431763
6584c6f4a4068e7b0bcf9c17,GRU_RNN_1_layer,0.6702837944030762,0.8500000238418579,0.8484480977058411
6584c731a4068e7b0bcf9c18,GRU_RNN_1_layer,0.8871721029281616,0.8222222328186035,0.8161289691925049
6584c76da4068e7b0bcf9c19,GRU_RNN_1_layer,0.5693365931510925,0.8444444537162781,0.8464157581329346
6584c7a7a4068e7b0bcf9c1a,GRU_RNN_1_layer,0.7136967778205872,0.8444444537162781,0.8422103524208069
6584c7e2a4068e7b0bcf9c1b,GRU_RNN_1_layer,0.788784384727478,0.8333333134651184,0.8366317749023438
6584c81ea4068e7b0bcf9c1c,GRU_RNN_1_layer,0.6609029769897461,0.855555534362793,0.8542823791503906
6584c85ca4068e7b0bcf9c1d,GRU_RNN_1_layer,0.5811865925788879,0.8666666746139526,0.8596627712249756
6584c897a4068e7b0bcf9c1e,GRU_RNN_1_layer,0.648250937461853,0.8444444537162781,0.8455936908721924
