_id,model,loss,accuracy,Macro F1-Score
6584ce36a4068e7b0bcf9c29,LSTM_RNN_1_layer,0.5600231289863586,0.8666666746139526,0.8626524806022644
6584ce91a4068e7b0bcf9c2a,LSTM_RNN_1_layer,0.6104694604873657,0.8833333253860474,0.8812739849090576
6584cedfa4068e7b0bcf9c2b,LSTM_RNN_1_layer,0.789695680141449,0.8666666746139526,0.8690388202667236
6584cf2da4068e7b0bcf9c2c,LSTM_RNN_1_layer,0.5562061667442322,0.8833333253860474,0.88060462474823
6584cf7da4068e7b0bcf9c2d,LSTM_RNN_1_layer,0.4112716317176819,0.8722222447395325,0.8746926188468933
6584cfcda4068e7b0bcf9c2e,LSTM_RNN_1_layer,0.613919198513031,0.8611111044883728,0.8593710660934448
6584d021a4068e7b0bcf9c2f,LSTM_RNN_1_layer,0.8010402917861938,0.8500000238418579,0.8515965938568115
6584d072a4068e7b0bcf9c30,LSTM_RNN_1_layer,0.6571289300918579,0.8611111044883728,0.8580662608146667
6584d0c5a4068e7b0bcf9c31,LSTM_RNN_1_layer,0.6987089514732361,0.8777777552604675,0.8772971034049988
6584d11ba4068e7b0bcf9c32,LSTM_RNN_1_layer,0.9014641046524048,0.8222222328186035,0.8164127469062805
